poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,231,-1,246,-1,16:45:00,218,-1,10:53:00
2,Cervantes,414,55,-1,55,-1,00:15:00,55,-1,00:15:00
3,El Palo,129,6,-1,6,-1,00:15:00,6,-1,00:15:00
4,Av. de Andalucía,517,101,-1,101,-1,00:15:00,101,-1,00:15:00
5,Camas,-1,30,-1,30,-1,00:15:00,30,-1,00:15:00
6,Cruz De Humilladero,100,87,-1,96,-1,08:57:00,76,-1,22:15:00
8,Alcazaba,-1,45,-1,45,-1,00:15:00,45,-1,00:15:00
9,San Juan De La Cruz,350,333,-1,336,-1,22:48:00,331,-1,20:49:00
10,Pz. de la Marina,256,2,-1,2,-1,00:15:00,2,-1,00:15:00
12,Tejón y Rodriguez,-1,32,-1,32,-1,00:15:00,32,-1,00:15:00
138,El Carmen,-1,-1,-1,-1,-1,00:15:00,-1,-1,00:15:00
139,Mármoles,-1,-1,-1,-1,-1,00:15:00,-1,-1,00:15:00
140,El Limonar,161,-1,-1,-1,-1,00:15:00,-1,-1,00:15:00
142,Bailén,-1,-1,-1,-1,-1,00:15:00,-1,-1,00:15:00
