poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,max_time_libres,min_libres,min_libres_discapacitados,min_time_libres
1,Salitre,342,202,-1,244,-1,22:38:00,137,-1,12:45:00
2,Cervantes,-1,212,-1,318,-1,04:17:00,49,-1,13:50:00
3,El Palo,-1,54,-1,87,-1,07:36:00,3,-1,12:19:00
4,Av. de Andalucía,-1,389,-1,496,-1,05:17:00,195,-1,12:55:00
5,Camas,-1,133,-1,239,-1,01:35:00,0,-1,11:58:00
6,Cruz De Humilladero,100,67,-1,79,-1,00:57:00,44,-1,13:20:00
8,Alcazaba,-1,122,-1,254,-1,05:17:00,7,-1,13:20:00
9,San Juan De La Cruz,410,355,-1,393,-1,07:26:00,245,-1,12:19:00
10,Pz. de la Marina,324,89,-1,222,-1,05:58:00,0,-1,22:38:00
12,Tejón y Rodriguez,-1,68,-1,89,-1,06:35:00,42,-1,13:10:00
138,El Carmen,-1,-1,-1,-1,-1,09:11:00,-1,-1,09:11:00
139,Mármoles,-1,-1,-1,-1,-1,09:11:00,-1,-1,09:11:00
140,El Limonar,161,-1,-1,-1,-1,09:11:00,-1,-1,09:11:00
142,Bailén,-1,-1,-1,-1,-1,09:11:00,-1,-1,09:11:00
